Run_ID,Experiment,Replica,Tool_ID,Group,Subgroup,Position,Condition,TCond,Machined_length,Init_diameter,Final_diameter,CTime,R_measurement,ap,vc,f,Ra,Rz,Rsk,Rku,RSm,Rt,Fx,Fy,Fz,F
1_021_B1_4_a,1,1,21,1,2,a,4,0,12,94,93.5,na,1,0.25,350,0.07,0.391,1.855,0.56,2.423,71.4,2.082,49.23,44.46,21.07,69.60049856
1_021_B1_4_a,1,1,21,1,2,a,4,0,12,94,93.5,na,2,0.25,350,0.07,0.359,1.67,0.53,2.229,70.9,1.918,49.23,44.46,21.07,69.60049856
1_021_B1_4_a,1,1,21,1,2,a,4,0,12,94,93.5,na,3,0.25,350,0.07,0.421,1.912,0.634,2.332,71.2,2.062,49.23,44.46,21.07,69.60049856
1_021_B1_4_a,1,1,21,1,2,a,4,0,12,94,93.5,na,4,0.25,350,0.07,0.45,1.961,0.676,2.325,72.8,2.063,49.23,44.46,21.07,69.60049856
1_021_B1_4_a,1,1,21,1,2,a,4,0,12,94,93.5,na,5,0.25,350,0.07,0.36,1.782,0.714,2.636,69.4,1.957,49.23,44.46,21.07,69.60049856
1_021_B1_4_a,1,1,21,1,2,a,4,0,12,94,93.5,na,6,0.25,350,0.07,0.383,1.931,0.58,2.542,67.3,2.039,49.23,44.46,21.07,69.60049856
1_021_B1_6_b,1,1,21,1,2,b,6,0,12,94,93.5,na,1,0.25,350,0.13,1.181,4.853,0.793,2.39,132.5,5.186,81.03,59.21,25.94,103.6560109
1_021_B1_6_b,1,1,21,1,2,b,6,0,12,94,93.5,na,2,0.25,350,0.13,1.139,5.005,0.701,2.492,130.2,5.122,81.03,59.21,25.94,103.6560109
1_021_B1_6_b,1,1,21,1,2,b,6,0,12,94,93.5,na,3,0.25,350,0.13,1.146,5.082,0.847,2.546,129.7,5.249,81.03,59.21,25.94,103.6560109
1_021_B1_6_b,1,1,21,1,2,b,6,0,12,94,93.5,na,4,0.25,350,0.13,1.125,5.044,0.745,2.561,129.3,5.323,81.03,59.21,25.94,103.6560109
1_021_B1_6_b,1,1,21,1,2,b,6,0,12,94,93.5,na,5,0.25,350,0.13,1.191,5.036,0.742,2.384,131.6,5.249,81.03,59.21,25.94,103.6560109
