Run_ID,Exp,Replica,Tool_ID,Group,Subgroup,Position,Condition,TCond,Machined_length,Init_diameter,Final_diameter,CTime,R_measurement,ap,vc,f,Ra,Rz,Rsk,Rku,RSm,Rt
na,prep,na,23,na,na,front,na,0.305,320,84,83.75,50.83994511,1,0.25,350,0.1,0.349,1.957,-0.414,2.778,E0110,2.27
na,prep,na,23,na,na,back,na,0.305,320,84,83.75,50.83994511,2,0.25,350,0.1,0.321,1.241,-0.386,1.846,43.6,1.386
na,prep,na,23,na,na,front,na,0.305,320,84,83.75,50.83994511,3,0.25,350,0.1,0.294,1.723,-0.594,3.187,100.4,2.02
na,prep,na,23,na,na,back,na,0.305,320,84,83.75,50.83994511,4,0.25,350,0.1,0.292,1.204,-0.459,1.996,45.6,1.392
na,prep,na,33,na,na,front,na,0.032,320,83.5,83.25,2.391200808,1,0.25,350,0.1,0.384,1.668,0.429,1.962,50.3,1.833
na,prep,na,33,na,na,back,na,0.032,320,83.5,83.25,2.391200808,2,0.25,350,0.1,0.55,2.009,0.297,1.656,93.9,2.113
na,prep,na,33,na,na,front,na,0.032,320,83.5,83.25,2.391200808,3,0.25,350,0.1,0.402,1.699,0.321,1.805,77.5,1.931
na,prep,na,33,na,na,back,na,0.032,320,83.5,83.25,2.391200808,4,0.25,350,0.1,0.545,2.149,0.259,1.74,80.3,2.296
na,prep,na,33,na,na,front,na,0.043,320,83,82.75,4.76804005,1,0.25,350,0.1,0.546,1.987,0.391,1.732,57.8,2.097
na,prep,na,33,na,na,back,na,0.043,320,83,82.75,4.76804005,2,0.25,350,0.1,0.582,2.144,0.329,1.721,55.3,2.353
na,prep,na,33,na,na,front,na,0.043,320,83,82.75,4.76804005,3,0.25,350,0.1,0.549,2.103,0.273,1.736,56.0,2.239
na,prep,na,33,na,na,back,na,0.043,320,83,82.75,4.76804005,4,0.25,350,0.1,0.59,2.323,0.188,1.721,59.2,2.647
na,prep,na,33,na,na,front,na,0.048,320,82.5,82.25,7.130517726,1,0.25,350,0.1,0.554,2.281,0.27,1.88,64.4,2.469
na,prep,na,33,na,na,back,na,0.048,320,82.5,82.25,7.130517726,2,0.25,350,0.1,0.496,1.994,0.235,1.813,64.9,2.184
na,prep,na,33,na,na,front,na,0.048,320,82.5,82.25,7.130517726,3,0.25,350,0.1,0.555,2.256,0.269,1.849,59.2,2.471
na,prep,na,33,na,na,back,na,0.048,320,82.5,82.25,7.130517726,4,0.25,350,0.1,0.553,2.099,0.238,1.699,55.8,2.252
na,prep,na,33,na,na,front,na,0.07,320,82,81.75,9.478633835,1,0.25,350,0.1,0.543,2.087,0.208,1.757,88.9,2.333
na,prep,na,33,na,na,back,na,0.07,320,82,81.75,9.478633835,2,0.25,350,0.1,0.551,2.189,0.292,1.83,77.1,2.341
na,prep,na,33,na,na,front,na,0.07,320,82,81.75,9.478633835,3,0.25,350,0.1,0.549,2.187,0.361,1.821,81.5,2.349
na,prep,na,33,na,na,back,na,0.07,320,82,81.75,9.478633835,4,0.25,350,0.1,0.555,2.211,0.291,1.846,63.8,2.457
na,prep,na,33,na,na,front,na,0.08,320,81.5,81.25,11.81238838,1,0.25,350,0.1,0.541,2.069,0.122,1.723,80.7,2.272
na,prep,na,33,na,na,back,na,0.08,320,81.5,81.25,11.81238838,2,0.25,350,0.1,0.505,1.856,0.04,1.567,74.9,1.946
na,prep,na,33,na,na,front,na,0.08,320,81.5,81.25,11.81238838,3,0.25,350,0.1,0.539,2.102,0.126,1.721,75.9,2.245
na,prep,na,33,na,na,back,na,0.08,320,81.5,81.25,11.81238838,4,0.25,350,0.1,0.546,2.044,0.048,1.614,82.0,2.462
